dataset	primary	processed	tier	status	nevents	nfiles	size_TB	created
/ADD-monojet_Par-N-6-MD-9000_TuneCP5_13p6TeV_pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM	ADD-monojet_Par-N-6-MD-9000_TuneCP5_13p6TeV_pythia8	RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2	NANOAODSIM	-	-	-	-	-
/ADD-monojet_Par-N-7-MD-3000_TuneCP5_13p6TeV_pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM	ADD-monojet_Par-N-7-MD-3000_TuneCP5_13p6TeV_pythia8	RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2	NANOAODSIM	-	-	-	-	-
/ADD-monojet_Par-N-7-MD-4000_TuneCP5_13p6TeV_pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM	ADD-monojet_Par-N-7-MD-4000_TuneCP5_13p6TeV_pythia8	RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2	NANOAODSIM	-	-	-	-	-
/ADD-monojet_Par-N-7-MD-5000_TuneCP5_13p6TeV_pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM	ADD-monojet_Par-N-7-MD-5000_TuneCP5_13p6TeV_pythia8	RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2	NANOAODSIM	-	-	-	-	-
/ADD-monojet_Par-N-7-MD-6000_TuneCP5_13p6TeV_pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM	ADD-monojet_Par-N-7-MD-6000_TuneCP5_13p6TeV_pythia8	RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2	NANOAODSIM	-	-	-	-	-
/ADD-monojet_Par-N-7-MD-7000_TuneCP5_13p6TeV_pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM	ADD-monojet_Par-N-7-MD-7000_TuneCP5_13p6TeV_pythia8	RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2	NANOAODSIM	-	-	-	-	-
/ADD-monojet_Par-N-7-MD-8000_TuneCP5_13p6TeV_pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM	ADD-monojet_Par-N-7-MD-8000_TuneCP5_13p6TeV_pythia8	RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2	NANOAODSIM	-	-	-	-	-
/ADD-monojet_Par-N-7-MD-9000_TuneCP5_13p6TeV_pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM	ADD-monojet_Par-N-7-MD-9000_TuneCP5_13p6TeV_pythia8	RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2	NANOAODSIM	-	-	-	-	-
/AMSBHiggsino_Par-ctau-10000cm-M-1000_TuneCP5_13p6TeV_madgraph-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM	AMSBHiggsino_Par-ctau-10000cm-M-1000_TuneCP5_13p6TeV_madgraph-pythia8	RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2	NANOAODSIM	-	-	-	-	-
/AMSBHiggsino_Par-ctau-10000cm-M-100_TuneCP5_13p6TeV_madgraph-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM	AMSBHiggsino_Par-ctau-10000cm-M-100_TuneCP5_13p6TeV_madgraph-pythia8	RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2	NANOAODSIM	-	-	-	-	-
